idx,hasSimpleResult,hasResultTime,madeBySensor,observedProperty,validada,tipoMedicion,tipoEmisorPredominante,tipoIntervaloReferencia
8734,57.9,2020-05-10T13:00:00,1002,nivelRuido,true,LAS50,ferrocarriles,D
1955,37.4,2020-02-12T13:00:00,878,nivelVibracion,false,LAW,,
6445,64.6,2020-05-08T13:00:00,123,nivelRuido,false,LAS99,obras,E
203,77.5,2020-01-12T13:00:00,12,nivelRuido,true,LAeq24,vehiculos-automoviles,N
9212,61.2,2020-05-12T13:00:00,421,nivelRuido,false,LAS10,actividades-comerciales,D
1,68.8,2020-07-09T00:00:00,1,nivelRuido,false,LAeq,,T
2,78.8,2020-07-09T00:00:01,1,nivelRuido,false,LAS01,,T
3,71.7,2020-07-09T00:00:02,1,nivelRuido,false,LAS10,,T
4,64.7,2020-07-09T00:00:03,1,nivelRuido,false,LAS50,,T
5,52.4,2020-07-09T00:00:04,1,nivelRuido,false,LAS90,,T
6,43.8,2020-07-09T00:00:05,1,nivelRuido,false,LAS99,,T
7,70.9,2020-07-09T00:00:00,1,nivelRuido,false,LAeq,,D
8,80.5,2020-07-09T00:00:01,1,nivelRuido,false,LAS01,,D
9,73.6,2020-07-09T00:00:02,1,nivelRuido,false,LAS10,,D
10,68.4,2020-07-09T00:00:03,1,nivelRuido,false,LAS50,,D
11,61.0,2020-07-09T00:00:04,1,nivelRuido,false,LAS90,ferrocarriles,D
12,56.8,2020-07-09T00:00:05,1,nivelRuido,false,LAS99,,D
13,67.4,2020-07-09T00:00:00,1,nivelRuido,false,LAeq,,E
14,75.0,2020-07-09T00:00:01,1,nivelRuido,false,LAS01,,E
15,70.5,2020-07-09T00:00:02,1,nivelRuido,false,LAS10,,E
16,64.3,2020-07-09T00:00:03,1,nivelRuido,false,LAS50,,E
17,58.2,2020-07-09T00:00:04,1,nivelRuido,false,LAS90,,E
18,54.8,2020-07-09T00:00:05,1,nivelRuido,false,LAS99,,E
19,61.8,2020-07-09T00:00:00,1,nivelRuido,false,LAeq,,N
20,69.7,2020-07-09T00:00:01,1,nivelRuido,false,LAS01,,N
21,65.7,2020-07-09T00:00:02,1,nivelRuido,false,LAS10,,N
22,56.2,2020-07-09T00:00:03,1,nivelRuido,false,LAS50,,N
23,47.3,2020-07-09T00:00:04,1,nivelRuido,false,LAS90,ferrocarriles,N
24,42.3,2020-07-09T00:00:05,1,nivelRuido,false,LAS99,,N
25,70.8,2019-12-21T00:00:00,2,nivelRuido,false,LAeq,,T
26,77.0,2019-12-21T00:00:00,2,nivelRuido,false,LAS01,,T
27,72.4,2019-12-21T00:00:00,2,nivelRuido,false,LAS10,,T
28,69.4,2019-12-21T00:00:00,2,nivelRuido,false,LAS50,,T
29,65.6,2019-12-21T00:00:00,2,nivelRuido,false,LAS90,,T
30,62.7,2019-12-21T00:00:00,2,nivelRuido,false,LAS99,,T
31,71.5,2019-12-21T00:00:00,2,nivelRuido,false,LAeq,,D
32,81.5,2019-12-21T00:00:00,2,nivelRuido,false,LAS01,,D
33,70.8,2019-12-21T00:00:00,2,nivelRuido,false,LAS10,,D
34,66.4,2019-12-21T00:00:00,2,nivelRuido,false,LAS50,,D
35,63.3,2019-12-21T00:00:00,2,nivelRuido,false,LAS90,,D
36,61.5,2019-12-21T00:00:00,2,nivelRuido,false,LAS99,,D
37,68.7,2019-12-21T00:00:00,2,nivelRuido,false,LAeq,,E
38,75.3,2019-12-21T00:00:00,2,nivelRuido,false,LAS01,,E
39,70.6,2019-12-21T00:00:00,2,nivelRuido,false,LAS10,,E
40,67.2,2019-12-21T00:00:00,2,nivelRuido,false,LAS50,,E
41,62.7,2019-12-21T00:00:00,2,nivelRuido,false,LAS90,,E
42,59.6,2019-12-21T00:00:00,2,nivelRuido,false,LAS99,,E
43,70.3,2019-12-21T00:00:00,2,nivelRuido,false,LAeq,,N
44,77.0,2019-12-21T00:00:00,2,nivelRuido,false,LAS01,,N
45,71.8,2019-12-21T00:00:00,2,nivelRuido,false,LAS10,,N
46,68.2,2019-12-21T00:00:00,2,nivelRuido,false,LAS50,,N
47,63.9,2019-12-21T00:00:00,2,nivelRuido,false,LAS90,,N
48,60.6,2019-12-21T00:00:00,2,nivelRuido,false,LAS99,,N
49,62.2,2019-12-21T00:00:00,3,nivelRuido,false,LAeq,,T
50,68.8,2019-12-21T00:00:00,3,nivelRuido,false,LAS01,,T
51,64.7,2019-12-21T00:00:00,3,nivelRuido,false,LAS10,,T
