trip_id,route_id,stop_id,id_parada,stop_sequence
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2508,2508,0
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2509,2509,1
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2510,2510,2
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2511,2511,3
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2512,2512,4
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2513,2513,5
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_413,413,6
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_415,415,7
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2244,2244,8
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2242,2242,9
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2240,2240,10
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2238,2238,11
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2236,2236,12
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2234,2234,13
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2232,2232,14
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2230,2230,15
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_2228,2228,16
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_161,161,17
6_I03-0A398F_07:00:00_2_1_6__52___,52-ida,par_6_69,69,18
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_90,90,0
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_70,70,1
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_162,162,2
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_751,751,3
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2225,2225,4
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2227,2227,5
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2229,2229,6
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2231,2231,7
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2233,2233,8
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_5787,5787,9
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2237,2237,10
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2239,2239,11
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2241,2241,12
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2243,2243,13
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_414,414,14
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_412,412,15
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2503,2503,16
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2504,2504,17
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2505,2505,18
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2506,2506,19
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2507,2507,20
6_I03-0A398F_07:30:00_1_1_6__52___,52-vuelta,par_6_2508,2508,21
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_113,113,0
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_440,440,1
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_4850,4850,2
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_438,438,3
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_436,436,4
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_441,441,5
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_442,442,6
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_443,443,7
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_444,444,8
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_445,445,9
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_446,446,10
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_447,447,11
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_448,448,12
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_4710,4710,13
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_449,449,14
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_451,451,15
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_452,452,16
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_161,161,17
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_69,69,18
6_I03-0A399F_07:00:00_2_1_6__51___,51-ida,par_6_5682,5682,19
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_5682,5682,0
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_2002,2002,1
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_90,90,2
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_70,70,3
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_162,162,4
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_423,423,5
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_424,424,6
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_425,425,7
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_426,426,8
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_427,427,9
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_428,428,10
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_5377,5377,11
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_430,430,12
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_431,431,13
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_432,432,14
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_418,418,15
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_416,416,16
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_433,433,17
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_434,434,18
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_435,435,19
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_437,437,20
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_4849,4849,21
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_439,439,22
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_4832,4832,23
6_I03-0A399F_07:30:00_1_1_6__51___,51-vuelta,par_6_113,113,24
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_511,511,0
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_507,507,1
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_508,508,2
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_509,509,3
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_510,510,4
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_4949,4949,5
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_4950,4950,6
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_4947,4947,7
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_135,135,8
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_133,133,9
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_513,513,10
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_500,500,11
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_498,498,12
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_1836,1836,13
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_211,211,14
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_116,116,15
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_114,114,16
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_111,111,17
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_4831,4831,18
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_440,440,19
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_4850,4850,20
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_514,514,21
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_516,516,22
6_I03-0A437F_07:00:00_2_1_6__29___,29-ida,par_6_415,415,23
