id_incidencia,id_incidencia_nuevo,nom_tipo_incidencia,fh_inicio,fh_final,descripcion,tramo,utm_x,utm_y,longitud,latitud,es_recurrente,recurrencia
17552,mad-17552,obras,2019-05-06T00:01:00.0000000,2020-08-31T23:59:00.0000000,Paseo de Recoletos entre Armada Española y Salustiano Olozaga. ocupación temporal de la vía pública para realizar obras.,,441378.278304504,4474918.1197053,-3.69103959214929,40.4228295867338,FALSE,
18751,mad-18751,obras,2019-09-03T10:00:00.0000000,2020-08-22T18:00:00.0000000,Vírgen del Puerto. Ciudad de Plasencia. Motivo: Acondicionamiento c/ Ciudad de Plasencia y cambio marca vial de carril bus en c/ Vírgen del Puerto.,,438862.080981544,4474063.55350266,-3.72061649009622,40.4149502002268,FALSE,
20346,mad-20346,obras,2020-02-10T00:00:00.0000000,2020-07-08T23:59:00.0000000,Calle Francisco de Rojas entre Nicasio Gallego y Luchana. Motivo: Obras de saneamiento,,440645.445139506,4475668.33101651,-3.69974774325308,40.4295358840802,FALSE,
19290,mad-19290,obras,2019-10-14T00:00:00.0000000,2020-08-22T23:59:00.0000000,Calle Bailén entre San Quintín y plaza de la Marina Española. Remodelación de Plaza España.,,439524.630491952,4474588.73044086,-3.71285770260949,40.419729638041,FALSE,
19653,mad-19653,obras,2019-10-23T00:00:00.0000000,2020-10-24T00:00:00.0000000,Arturo Soria - Jose Silva Ulises. Obras en la estación de Metro Arturo Soria (LINEA 4),,444348.263571395,4478565.55622658,-3.65635078072901,40.4558915590753,FALSE,
20162,mad-20162,obras,2019-12-17T00:01:00.0000000,2020-06-30T23:59:00.0000000,Plaza de la Prosperidad nº 3 y calle General Zabala. ocupación temporal de la vía pública para obras en la linea 4 del metro de madrid.,,442756.790247664,4477296.35533362,-3.67500482221734,40.4443499024897,FALSE,
20229,mad-20229,obras,2020-12-20T09:30:00.0000000,2020-12-24T18:00:00.0000000,Isabel Serrano 21. cortada en horario de obras entre Pº de la Dirección y Fermín Izquierdo. CYII,,440244.73961217,4480089.78007999,-3.70488747717407,40.4693374588525,FALSE,
20265,mad-20265,obras,2020-02-10T00:01:00.0000000,2020-07-08T23:59:00.0000000,Calle Francisco Rojas nº 10. ocupación temporal de la vía pública para obras.,,440644.898272192,4475685.17733903,-3.69975576296296,40.4296876044615,FALSE,
20267,mad-20267,obras,2020-02-17T09:30:00.0000000,2020-08-14T18:00:00.0000000,Calle Andres Tamayo nº 24. ocupación temporal de la vía pública para renovación de red.,,442959.047707321,4476493.33955965,-3.672547886531,40.4371298416969,FALSE,
18850,mad-18850,obras,2020-05-04T00:00:00.0000000,2020-08-01T23:59:00.0000000,Olivo 29. Entre Osa Menor y Baja de la iglesia. Renovación red de saneamiento.,,433693.53140376,4478969.31575397,-3.7820435413641,40.4587469639215,FALSE,
