fecha_hora,fechaid,idelem,intensidad,ocupacion,carga,nivelServicio,intensidadSat
2929-05-25T17:20:08,2929-05-25t17-20-08,3409,212,2,8,0,3000
2929-05-25T17:20:08,2929-05-25t17-20-08,4739,169,1,6,0,3000
2929-05-25T17:20:08,2929-05-25t17-20-08,4740,161,1,6,0,3000
2929-05-25T17:20:08,2929-05-25t17-20-08,4741,135,1,5,0,3000
2929-05-25T17:20:08,2929-05-25t17-20-08,4742,225,1,8,0,3000
2929-05-25T17:20:08,2929-05-25t17-20-08,4743,315,1,11,0,3000
2929-05-25T17:20:08,2929-05-25t17-20-08,4744,84,3,5,0,3000
2929-05-25T17:20:08,2929-05-25t17-20-08,4746,344,5,15,0,3000
2929-05-25T17:20:08,2929-05-25t17-20-08,4747,0,0,0,0,1200
2929-05-25T17:20:08,2929-05-25t17-20-08,4748,135,3,12,0,1500
2929-05-25T17:20:08,2929-05-25t17-20-08,4749,630,6,36,1,2000
2929-05-25T17:20:08,2929-05-25t17-20-08,4750,360,3,15,0,3000
2929-05-25T17:20:08,2929-05-25t17-20-08,4751,180,16,26,1,1500
